id,lat,lon,type,destination:ref,exit_to,name,destination,destination:street,ref,junction:ref
28434246,33.9922031,-118.40284,node,,,Unnamed Exit,,,50B,
28434250,33.9912994,-118.402332,node,,,Unnamed Exit,,,,
28456566,34.0682283,-118.0236039,node,,,Unnamed Exit,,,29B,
29098630,33.8767101,-118.108446,node,,,Unnamed Exit,,,,
29322371,34.1526674,-118.1073616,node,,,Unnamed Exit,,,27B,
29409683,34.1557246,-118.4280404,node,,,Unnamed Exit,,,16,
29413840,33.7021852,-117.9499342,node,,,Unnamed Exit,,,14,
29413862,33.7990454,-118.084717,node,,,Unnamed Exit,,,1B,
29413874,34.0082057,-118.1581677,node,,,Unnamed Exit,,,129,
29414050,34.0071185,-118.1725332,node,,,Unnamed Exit,,,17B,
29414060,33.972994,-118.1680716,node,,,Unnamed Exit,,,15,
29414083,33.8891437,-118.1889852,node,,,Unnamed Exit,,,9A,
29414085,33.8784613,-118.1925398,node,,,Unnamed Exit,,,8A,
29414122,33.802599,-118.1184204,node,,,Unnamed Exit,,,25,
29414845,33.8591429,-118.2015003,node,,,Unnamed Exit,,,7,
29414856,33.9037393,-118.1852052,node,,,Unnamed Exit,,,11B;11A,
29414880,33.9643715,-118.1690286,node,,,Unnamed Exit,,,15,
29414894,33.9985542,-118.176157,node,,,Unnamed Exit,,,17B,
29414896,34.0042218,-118.1730021,node,,,Unnamed Exit,,,17C,
29429912,34.1450151,-118.167667,node,,,Unnamed Exit,,,12,
29437082,33.7849718,-118.091494,node,,,Unnamed Exit,,,,
29437088,33.8752732,-118.1043818,node,,,Unnamed Exit,,,,
29468673,33.7717613,-118.0005328,node,,,Unnamed Exit,,,7,
29546910,34.1696967,-118.3039397,node,,,Unnamed Exit,,,,
29570298,34.1567518,-118.379205,node,,,Unnamed Exit,,,,
29881588,34.2888761,-118.465245,node,,,Unnamed Exit,,,,
29891391,37.7007746,-122.0265206,node,,,Unnamed Exit,,,39,
29891439,37.6374204,-122.0984529,node,,,Unnamed Exit,,,25B,
29892673,37.9648186,-122.5144668,node,,,Unnamed Exit,,,451B,
29892724,38.4489423,-122.7259307,node,,,Unnamed Exit,,,490,
29974423,37.5851099,-121.3263471,node,,,Unnamed Exit,,,445,
30029450,37.700924,-121.795085,node,,,Unnamed Exit,,,51,
30029498,37.6908693,-122.085069,node,,,Unnamed Exit,,,35,
30029522,37.6327185,-122.1093677,node,,,Unnamed Exit,,,25A,
30033753,37.8818504,-122.5167826,node,,,Unnamed Exit,,,,
30033754,37.8996283,-122.5158654,node,,,Unnamed Exit,,,447,
30033763,37.9373152,-122.516689,node,,,Unnamed Exit,,,450A,
30033768,37.9635537,-122.5120851,node,,,Unnamed Exit,,,451A,
30033776,38.010479,-122.5421288,node,,,Unnamed Exit,,,455,
30033863,38.4990878,-122.7604764,node,,,Unnamed Exit,,,494,
30033883,38.6640406,-122.87631,node,,,Unnamed Exit,,,507,
30033888,38.6836768,-122.8809287,node,,,Unnamed Exit,,,509,
30181051,34.7659417,-118.7996278,node,,,Unnamed Exit,,,198,
30185558,34.5890356,-118.711777,node,,,Unnamed Exit,,,185,
30185570,34.5725925,-118.6919893,node,,,Unnamed Exit,,,183,
30186287,34.3753496,-118.5631867,node,,,Unnamed Exit,,,167,
30237138,37.3339155,-122.064263,node,,,Unnamed Exit,,,13,
30237212,37.3336169,-122.0724695,node,,,Unnamed Exit,,,13,
30362160,37.824005,-122.303118,node,,,Unnamed Exit,,,,
30362888,37.825844,-122.3030576,node,,,Unnamed Exit,,,8A,
30365438,37.8232208,-122.3172074,node,,,Unnamed Exit,,,8A,
30365459,37.8243576,-122.3088476,node,,,Unnamed Exit,,,8A,
30365945,37.8247313,-122.3111929,node,,,Unnamed Exit,,,,
30366152,37.8273964,-122.2833891,node,,,Unnamed Exit,,,,
30372583,37.8011706,-122.279695,node,,,Unnamed Exit,,,1A,
30674115,37.3507904,-122.1050483,node,,,Unnamed Exit,,,15,
30674121,37.3549058,-122.112702,node,,,Unnamed Exit,,,15,
30674486,37.3603209,-122.0975655,node,,,Unnamed Exit,,,,
30675976,37.4075809,-122.1066707,node,,,Unnamed Exit,,,,
30677839,37.3885903,-122.1575763,node,,,Unnamed Exit,,,20,
30677855,37.4077299,-122.1905724,node,,,Unnamed Exit,,,22,
30677889,37.4440619,-122.2560628,node,,,Unnamed Exit,,,27,
30677931,37.4966833,-122.3121574,node,,,Unnamed Exit,,,,
31053120,37.444196,-122.2689432,node,,,Unnamed Exit,,,27,
31053150,37.4103895,-122.199023,node,,,Unnamed Exit,,,22,
31354455,36.960633,-121.5509444,node,,,Unnamed Exit,,,353,
31354462,37.2383177,-121.7623012,node,,,Unnamed Exit,,,377A,
31354481,37.5030349,-122.3317558,node,,,Unnamed Exit,,,33,
31362863,37.3371577,-122.059605,node,,,Unnamed Exit,,,,
31412221,36.8781882,-121.5653957,node,,,Unnamed Exit,,,347,
31416627,37.1152357,-121.6236566,node,,,Unnamed Exit,,,365,
